date,fulldatealternatekey,month,quarter,year
20050101,01-01-2005,January,1,2005
20050102,02-01-2005,January,1,2005
20050103,03-01-2005,January,1,2005
20050104,04-01-2005,January,1,2005
20050105,05-01-2005,January,1,2005
20050106,06-01-2005,January,1,2005
20050107,07-01-2005,January,1,2005
20050108,08-01-2005,January,1,2005
20050109,09-01-2005,January,1,2005
20050110,10-01-2005,January,1,2005
20050111,11-01-2005,January,1,2005
20050112,12-01-2005,January,1,2005
20050113,13-01-2005,January,1,2005
20050114,14-01-2005,January,1,2005
20050115,15-01-2005,January,1,2005
20050116,16-01-2005,January,1,2005
20050117,17-01-2005,January,1,2005
20050118,18-01-2005,January,1,2005
20050119,19-01-2005,January,1,2005
20050120,20-01-2005,January,1,2005
20050121,21-01-2005,January,1,2005
20050122,22-01-2005,January,1,2005
20050123,23-01-2005,January,1,2005
20050124,24-01-2005,January,1,2005
20050125,25-01-2005,January,1,2005
20050126,26-01-2005,January,1,2005
20050127,27-01-2005,January,1,2005
20050128,28-01-2005,January,1,2005
20050129,29-01-2005,January,1,2005
20050130,30-01-2005,January,1,2005
20050131,31-01-2005,January,1,2005
20050201,01-02-2005,February,1,2005
20050202,02-02-2005,February,1,2005
20050203,03-02-2005,February,1,2005
20050204,04-02-2005,February,1,2005
20050205,05-02-2005,February,1,2005
20050206,06-02-2005,February,1,2005
20050207,07-02-2005,February,1,2005
20050208,08-02-2005,February,1,2005
20050209,09-02-2005,February,1,2005
20050210,10-02-2005,February,1,2005
20050211,11-02-2005,February,1,2005
20050212,12-02-2005,February,1,2005
20050213,13-02-2005,February,1,2005
20050214,14-02-2005,February,1,2005
20050215,15-02-2005,February,1,2005
20050216,16-02-2005,February,1,2005
20050217,17-02-2005,February,1,2005
20050218,18-02-2005,February,1,2005
20050219,19-02-2005,February,1,2005
20050220,20-02-2005,February,1,2005
20050221,21-02-2005,February,1,2005
20050222,22-02-2005,February,1,2005
20050223,23-02-2005,February,1,2005
20050224,24-02-2005,February,1,2005
20050225,25-02-2005,February,1,2005
20050226,26-02-2005,February,1,2005
20050227,27-02-2005,February,1,2005
20050228,28-02-2005,February,1,2005
20050301,01-03-2005,March,1,2005
20050302,02-03-2005,March,1,2005
20050303,03-03-2005,March,1,2005
20050304,04-03-2005,March,1,2005
20050305,05-03-2005,March,1,2005
20050306,06-03-2005,March,1,2005
20050307,07-03-2005,March,1,2005
20050308,08-03-2005,March,1,2005
20050309,09-03-2005,March,1,2005
20050310,10-03-2005,March,1,2005
20050311,11-03-2005,March,1,2005
20050312,12-03-2005,March,1,2005
20050313,13-03-2005,March,1,2005
20050314,14-03-2005,March,1,2005
20050315,15-03-2005,March,1,2005
20050316,16-03-2005,March,1,2005
20050317,17-03-2005,March,1,2005
20050318,18-03-2005,March,1,2005
20050319,19-03-2005,March,1,2005
20050320,20-03-2005,March,1,2005
20050321,21-03-2005,March,1,2005
20050322,22-03-2005,March,1,2005
20050323,23-03-2005,March,1,2005
20050324,24-03-2005,March,1,2005
20050325,25-03-2005,March,1,2005
20050326,26-03-2005,March,1,2005
20050327,27-03-2005,March,1,2005
20050328,28-03-2005,March,1,2005
20050329,29-03-2005,March,1,2005
20050330,30-03-2005,March,1,2005
20050331,31-03-2005,March,1,2005
20050401,01-04-2005,April,2,2005
20050402,02-04-2005,April,2,2005
20050403,03-04-2005,April,2,2005
20050404,04-04-2005,April,2,2005
20050405,05-04-2005,April,2,2005
20050406,06-04-2005,April,2,2005
20050407,07-04-2005,April,2,2005
20050408,08-04-2005,April,2,2005
20050409,09-04-2005,April,2,2005
20050410,10-04-2005,April,2,2005
20050411,11-04-2005,April,2,2005
20050412,12-04-2005,April,2,2005
20050413,13-04-2005,April,2,2005
20050414,14-04-2005,April,2,2005
20050415,15-04-2005,April,2,2005
20050416,16-04-2005,April,2,2005
20050417,17-04-2005,April,2,2005
20050418,18-04-2005,April,2,2005
20050419,19-04-2005,April,2,2005
20050420,20-04-2005,April,2,2005
20050421,21-04-2005,April,2,2005
20050422,22-04-2005,April,2,2005
20050423,23-04-2005,April,2,2005
20050424,24-04-2005,April,2,2005
20050425,25-04-2005,April,2,2005
20050426,26-04-2005,April,2,2005
20050427,27-04-2005,April,2,2005
20050428,28-04-2005,April,2,2005
20050429,29-04-2005,April,2,2005
20050430,30-04-2005,April,2,2005
20050501,01-05-2005,May,2,2005
20050502,02-05-2005,May,2,2005
20050503,03-05-2005,May,2,2005
20050504,04-05-2005,May,2,2005
20050505,05-05-2005,May,2,2005
20050506,06-05-2005,May,2,2005
20050507,07-05-2005,May,2,2005
20050508,08-05-2005,May,2,2005
20050509,09-05-2005,May,2,2005
20050510,10-05-2005,May,2,2005
20050511,11-05-2005,May,2,2005
20050512,12-05-2005,May,2,2005
20050513,13-05-2005,May,2,2005
20050514,14-05-2005,May,2,2005
20050515,15-05-2005,May,2,2005
20050516,16-05-2005,May,2,2005
20050517,17-05-2005,May,2,2005
20050518,18-05-2005,May,2,2005
20050519,19-05-2005,May,2,2005
20050520,20-05-2005,May,2,2005
20050521,21-05-2005,May,2,2005
20050522,22-05-2005,May,2,2005
20050523,23-05-2005,May,2,2005
20050524,24-05-2005,May,2,2005
20050525,25-05-2005,May,2,2005
20050526,26-05-2005,May,2,2005
20050527,27-05-2005,May,2,2005
20050528,28-05-2005,May,2,2005
20050529,29-05-2005,May,2,2005
20050530,30-05-2005,May,2,2005
20050531,31-05-2005,May,2,2005
20050601,01-06-2005,June,2,2005
20050602,02-06-2005,June,2,2005
20050603,03-06-2005,June,2,2005
20050604,04-06-2005,June,2,2005
20050605,05-06-2005,June,2,2005
20050606,06-06-2005,June,2,2005
20050607,07-06-2005,June,2,2005
20050608,08-06-2005,June,2,2005
20050609,09-06-2005,June,2,2005
20050610,10-06-2005,June,2,2005
20050611,11-06-2005,June,2,2005
20050612,12-06-2005,June,2,2005
20050613,13-06-2005,June,2,2005
20050614,14-06-2005,June,2,2005
20050615,15-06-2005,June,2,2005
20050616,16-06-2005,June,2,2005
20050617,17-06-2005,June,2,2005
20050618,18-06-2005,June,2,2005
20050619,19-06-2005,June,2,2005
20050620,20-06-2005,June,2,2005
20050621,21-06-2005,June,2,2005
20050622,22-06-2005,June,2,2005
20050623,23-06-2005,June,2,2005
20050624,24-06-2005,June,2,2005
20050625,25-06-2005,June,2,2005
20050626,26-06-2005,June,2,2005
20050627,27-06-2005,June,2,2005
20050628,28-06-2005,June,2,2005
20050629,29-06-2005,June,2,2005
20050630,30-06-2005,June,2,2005
20050701,01-07-2005,July,3,2005
20050702,02-07-2005,July,3,2005
20050703,03-07-2005,July,3,2005
20050704,04-07-2005,July,3,2005
20050705,05-07-2005,July,3,2005
20050706,06-07-2005,July,3,2005
20050707,07-07-2005,July,3,2005
20050708,08-07-2005,July,3,2005
20050709,09-07-2005,July,3,2005
20050710,10-07-2005,July,3,2005
20050711,11-07-2005,July,3,2005
20050712,12-07-2005,July,3,2005
20050713,13-07-2005,July,3,2005
20050714,14-07-2005,July,3,2005
20050715,15-07-2005,July,3,2005
20050716,16-07-2005,July,3,2005
20050717,17-07-2005,July,3,2005
20050718,18-07-2005,July,3,2005
20050719,19-07-2005,July,3,2005
20050720,20-07-2005,July,3,2005
20050721,21-07-2005,July,3,2005
20050722,22-07-2005,July,3,2005
20050723,23-07-2005,July,3,2005
20050724,24-07-2005,July,3,2005
20050725,25-07-2005,July,3,2005
